"","Survived","Pclass","Sex","SibSp","Parch","Cabin","Embarked","relative","not_alone","Agerange","Faregroup"
"1",0,3,1,1,0,0,0,1,0,3,1
"2",1,1,0,1,0,3,1,1,0,4,1
"3",1,3,0,0,0,0,0,0,1,3,1
"4",1,1,0,1,0,3,0,1,0,4,1
"5",0,3,1,0,0,0,0,0,1,4,1
"6",0,3,1,0,0,0,2,0,1,3,1
"7",0,1,1,0,0,5,0,0,1,5,1
"8",0,3,1,3,1,0,0,4,0,1,1
"9",1,3,0,0,2,0,0,2,0,3,1
"10",1,2,0,1,0,0,1,1,0,2,1
"11",1,3,0,1,1,7,0,2,0,2,1
"12",1,1,0,0,0,3,0,0,1,5,1
"13",0,3,1,0,0,0,0,0,1,3,1
"14",0,3,1,1,5,0,0,6,0,4,1
"15",0,3,0,0,0,0,0,0,1,2,1
"16",1,2,0,0,0,0,0,0,1,5,1
"17",0,3,1,4,1,0,2,5,0,1,1
"18",1,2,1,0,0,0,0,0,1,3,1
"19",0,3,0,1,0,0,0,1,0,4,1
"20",1,3,0,0,0,0,1,0,1,3,1
"21",0,2,1,0,0,0,0,0,1,4,1
"22",1,2,1,0,0,4,0,0,1,4,1
"23",1,3,0,0,0,0,2,0,1,2,1
"24",1,1,1,0,0,1,0,0,1,3,1
"25",0,3,0,3,1,0,0,4,0,2,1
"26",1,3,0,1,5,0,0,6,0,4,1
"27",0,3,1,0,0,0,1,0,1,3,1
"28",0,1,1,3,2,3,0,5,0,3,4
"29",1,3,0,0,0,0,2,0,1,3,1
"30",0,3,1,0,0,0,0,0,1,3,1
"31",0,1,1,0,0,0,1,0,1,4,1
"32",1,1,0,1,0,2,1,1,0,3,2
"33",1,3,0,0,0,0,2,0,1,3,1
"34",0,2,1,0,0,0,0,0,1,6,1
"35",0,1,1,1,0,0,1,1,0,3,1
"36",0,1,1,1,0,0,0,1,0,4,1
"37",1,3,1,0,0,0,1,0,1,3,1
"38",0,3,1,0,0,0,0,0,1,3,1
"39",0,3,0,2,0,0,0,2,0,3,1
"40",1,3,0,1,0,0,1,1,0,2,1
"41",0,3,0,1,0,0,0,1,0,4,1
"42",0,2,0,1,0,0,0,1,0,3,1
"43",0,3,1,0,0,0,1,0,1,3,1
"44",1,2,0,1,2,0,1,3,0,2,1
"45",1,3,0,0,0,0,2,0,1,3,1
"46",0,3,1,0,0,0,0,0,1,3,1
"47",0,3,1,1,0,0,2,1,0,3,1
"48",1,3,0,0,0,0,2,0,1,3,1
"49",0,3,1,2,0,0,1,2,0,3,1
"50",0,3,0,1,0,0,0,1,0,3,1
"51",0,3,1,4,1,0,0,5,0,2,1
"52",0,3,1,0,0,0,0,0,1,3,1
"53",1,1,0,1,0,4,1,1,0,5,1
"54",1,2,0,1,0,0,0,1,0,3,1
"55",0,1,1,0,1,2,1,1,0,6,1
"56",1,1,1,0,0,3,0,0,1,3,1
"57",1,2,0,0,0,0,0,0,1,3,1
"58",0,3,1,0,0,0,1,0,1,3,1
"59",1,2,0,1,2,0,0,3,0,2,1
"60",0,3,1,5,2,0,0,7,0,2,1
"61",0,3,1,0,0,0,1,0,1,3,1
"62",1,1,0,0,0,2,0,0,1,4,1
"63",0,1,1,1,0,3,0,1,0,4,1
"64",0,3,1,3,2,0,0,5,0,2,1
"65",0,1,1,0,0,0,1,0,1,3,1
"66",1,3,1,1,1,0,1,2,0,3,1
"67",1,2,0,0,0,6,0,0,1,3,1
"68",0,3,1,0,0,0,0,0,1,3,1
"69",1,3,0,4,2,0,0,6,0,3,1
"70",0,3,1,2,0,0,0,2,0,3,1
"71",0,2,1,0,0,0,0,0,1,4,1
"72",0,3,0,5,2,0,0,7,0,2,1
"73",0,2,1,0,0,0,0,0,1,3,1
"74",0,3,1,1,0,0,1,1,0,3,1
"75",1,3,1,0,0,0,0,0,1,4,1
"76",0,3,1,0,0,6,0,0,1,3,1
"77",0,3,1,0,0,0,0,0,1,3,1
"78",0,3,1,0,0,0,0,0,1,3,1
"79",1,2,1,0,2,0,0,2,0,1,1
"80",1,3,0,0,0,0,0,0,1,3,1
"81",0,3,1,0,0,0,0,0,1,3,1
"82",1,3,1,0,0,0,0,0,1,3,1
"83",1,3,0,0,0,0,2,0,1,3,1
"84",0,1,1,0,0,0,0,0,1,3,1
"85",1,2,0,0,0,0,0,0,1,3,1
"86",1,3,0,3,0,0,0,3,0,4,1
"87",0,3,1,1,3,0,0,4,0,2,1
"88",0,3,1,0,0,0,0,0,1,3,1
"89",1,1,0,3,2,3,0,5,0,3,4
"90",0,3,1,0,0,0,0,0,1,3,1
"91",0,3,1,0,0,0,0,0,1,3,1
"92",0,3,1,0,0,0,0,0,1,3,1
"93",0,1,1,1,0,5,0,1,0,5,1
"94",0,3,1,1,2,0,0,3,0,3,1
"95",0,3,1,0,0,0,0,0,1,5,1
"96",0,3,1,0,0,0,0,0,1,3,1
"97",0,1,1,0,0,1,1,0,1,6,1
"98",1,1,1,0,1,4,1,1,0,3,1
"99",1,2,0,0,1,0,0,1,0,4,1
"100",0,2,1,1,0,0,0,1,0,4,1
"101",0,3,0,0,0,0,0,0,1,3,1
"102",0,3,1,0,0,0,0,0,1,3,1
"103",0,1,1,0,1,4,0,1,0,3,1
"104",0,3,1,0,0,0,0,0,1,4,1
